area_type,availability,location,id,size,society,total_sqft,bath,balcony,price
Plot  Area,Ready To Move,Chikka Tirupathi,1,4,Theanmp,2600,5,3,120
Built-up  Area,Ready To Move,Uttarahalli,2,3,,1440,2,3,62
Super built-up  Area,Ready To Move,Lingadheeranahalli,3,3,Soiewre,1521,3,1,95
Super built-up  Area,Ready To Move,Kothanur,4,2,,1200,2,1,51
Super built-up  Area,Ready To Move,Whitefield,5,2,DuenaTa,1170,2,1,38
Super built-up  Area,18-May,Old Airport Road,6,4,Jaades ,2732,4,,204
Super built-up  Area,Ready To Move,Rajaji Nagar,7,4,Brway G,3300,4,,600
Super built-up  Area,Ready To Move,Marathahalli,8,3,,1310,3,1,63.25
Plot  Area,Ready To Move,Gandhi Bazar,9,6,,1020,6,,370
Super built-up  Area,18-Feb,Whitefield,10,3,,1800,2,2,70
Plot  Area,Ready To Move,Whitefield,10,4,Prrry M,2785,5,3,295
Super built-up  Area,Ready To Move,7th Phase JP Nagar,11,2,Shncyes,1000,2,1,38
Built-up  Area,Ready To Move,Gottigere,12,2,,1100,2,2,40
Plot  Area,Ready To Move,Sarjapur,13,3,Skityer,2250,3,2,148
Super built-up  Area,Ready To Move,Mysore Road,14,2,PrntaEn,1175,2,2,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,15,3,Prityel,1180,3,2,48
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,16,3,GrrvaGr,1540,3,3,60
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,17,3,PeBayle,2770,4,2,290
Super built-up  Area,Ready To Move,Manayata Tech Park,18,2,,1100,2,2,48
Built-up  Area,Ready To Move,Kengeri,19,1,,600,1,1,15
Super built-up  Area,19-Dec,Binny Pete,20,3,She 2rk,1755,3,1,122
Plot  Area,Ready To Move,Thanisandra,21,4,Soitya ,2800,5,2,380
Super built-up  Area,Ready To Move,Bellandur,22,3,,1767,3,1,103
Super built-up  Area,18-Nov, Thanisandra,23,1,Bhe 2ko,510,1,0,25.25
Super built-up  Area,18-May,Mangammanapalya,24,3,,1250,3,2,56
Super built-up  Area,Ready To Move,Electronic City,25,2,Itelaa ,660,1,1,23.1
Built-up  Area,20-Dec,Whitefield,26,3,,1610,3,2,81
Super built-up  Area,17-Oct,Ramagondanahalli,27,2,ViistLa,1151,2,2,48.77
Super built-up  Area,Ready To Move,Electronic City,28,3,KBityo ,1025,2,1,47
Super built-up  Area,19-Dec,Yelahanka,29,4,LedorSa,2100,4,0,186
Super built-up  Area,Ready To Move,Bisuvanahalli,30,3,Prityel,1075,2,1,35
Super built-up  Area,Ready To Move,Hebbal,31,3,Mahosya,1760,2,2,123
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,32,3,GrrvaGr,1693,3,3,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,33,3,Kantsce,1925,3,,125
Super built-up  Area,21-Dec,Kanakpura Road,34,2,PrarePa,700,2,1,36
Super built-up  Area,Ready To Move,Electronics City Phase 1,35,2,,1070,2,1,45.5
Super built-up  Area,Ready To Move,Kundalahalli,36,3,Dieldli,1724,3,2,125
Super built-up  Area,Ready To Move,Chikkalasandra,37,3,,1290,2,2,56.12
Built-up  Area,Ready To Move,Uttarahalli,38,2,,1143,2,2,45
Built-up  Area,Ready To Move,Murugeshpalya,39,2,Gentson,1296,2,,81
Super built-up  Area,19-Dec,Sarjapur  Road,40,3,Soini T,1254,3,2,38
Super built-up  Area,Ready To Move,Ganga Nagar,41,1,Ceove G,600,1,0,38
Plot  Area,Ready To Move,Yelahanka,42,1,,660,1,0,48
Super built-up  Area,19-Sep,Kanakpura Road,43,2,Soazak ,1330.74,2,2,91.79
Plot  Area,Ready To Move,HSR Layout,44,8,,600,9,,200
Super built-up  Area,Ready To Move,Doddathoguru,45,2,LancyRe,970,2,0,33
Super built-up  Area,20-Sep,Whitefield,46,2,Goted U,1459,2,1,94.82
